id,video_id,view_count,like_count,dislike_count,favorite_count,comment_count,created_at,updated_at
201,3FdNCB-N70E,12267,68,54,0,46,2015-09-28 15:41:47,2015-09-28 15:41:47
202,3GIwjFpIEh8,576,5,0,0,0,2015-09-28 15:41:48,2015-09-28 15:41:48
203,3GpLyibNaVY,371,3,0,0,2,2015-09-28 15:41:48,2015-09-28 15:41:48
204,3JsDhwqGBAk,32,0,0,0,0,2015-09-28 15:41:48,2015-09-28 15:41:48
205,3UieLEwWqig,3266,40,5,0,24,2015-09-28 15:41:49,2015-09-28 15:41:49
206,3UzQZT3MTLw,152,0,0,0,0,2015-09-28 15:41:49,2015-09-28 15:41:49
207,3ZtTHAkBsME,1752,2,0,0,1,2015-09-28 15:41:49,2015-09-28 15:41:49
208,3_NFBZZT_So,40,0,0,0,0,2015-09-28 15:41:50,2015-09-28 15:41:50
209,3_PfQOA7ZqM,19900,252,26,0,24,2015-09-28 15:41:50,2015-09-28 15:41:50
210,3bIKGRDfCj8,2752,10,2,0,3,2015-09-28 15:41:50,2015-09-28 15:41:50
211,3cSoAEbP4Eo,5521,104,56,0,82,2015-09-28 15:41:51,2015-09-28 15:41:51
212,3cikpifuthk,4124,63,0,0,1,2015-09-28 15:41:51,2015-09-28 15:41:51
213,3fKXkAhAFts,27768,134,803,0,438,2015-09-28 15:41:52,2015-09-28 15:41:52
214,3fKoR8nPdpk,313,15,2,0,4,2015-09-28 15:41:52,2015-09-28 15:41:52
215,3hKd6GsoX9Q,5637,1,0,0,0,2015-09-28 15:41:52,2015-09-28 15:41:52
216,3hTmNZvepZo,9521,37,32,0,2,2015-09-28 15:41:53,2015-09-28 15:41:53
217,3ib_KZtDnzE,6918,12,4,0,11,2015-09-28 15:41:53,2015-09-28 15:41:53
218,3l1vOa_HsAc,2653,6,2,0,2,2015-09-28 15:41:54,2015-09-28 15:41:54
219,3ojouzx4sDA,25,0,0,0,0,2015-09-28 15:41:54,2015-09-28 15:41:54
220,3unkZpxaA8I,1137,6,0,0,5,2015-09-28 15:41:54,2015-09-28 15:41:54
221,3v8Q5he2Pp0,80,0,0,0,0,2015-09-28 15:41:55,2015-09-28 15:41:55
222,3whRzbn7hNg,245,1,0,0,1,2015-09-28 15:41:55,2015-09-28 15:41:55
223,3y-zxhneTcc,1843,38,2,0,1,2015-09-28 15:41:55,2015-09-28 15:41:55
224,3zmGpqDa70Y,292,10,1,0,5,2015-09-28 15:41:56,2015-09-28 15:41:56
225,4-R_JIog5gw,719,24,3,0,3,2015-09-28 15:41:56,2015-09-28 15:41:56
226,407NVjv_mnQ,493,4,1,0,1,2015-09-28 15:41:56,2015-09-28 15:41:56
227,41HRn-MYXzg,841,10,3,0,2,2015-09-28 15:41:57,2015-09-28 15:41:57
228,43Ea2cMBtKQ,218,0,0,0,0,2015-09-28 15:41:57,2015-09-28 15:41:57
229,43OQ3g8D--0,153,7,1,0,0,2015-09-28 15:41:57,2015-09-28 15:41:57
230,43k7DKQEVi0,12086,2,2,0,0,2015-09-28 15:41:58,2015-09-28 15:41:58
231,45NStrkrlis,258,10,1,0,6,2015-09-28 15:41:59,2015-09-28 15:41:59
232,468147Mlzyw,8582,10,5,0,1,2015-09-28 15:41:59,2015-09-28 15:41:59
233,469M0XFJuYg,1449,46,3,0,5,2015-09-28 15:41:59,2015-09-28 15:41:59
234,46_EOpYP4A4,587,5,3,0,0,2015-09-28 15:42:00,2015-09-28 15:42:00
